nr,skill,text,hanzi,record_as,target_hash
1,classifiers,gai5 個,個,001.m4a,01ea89f8739dc13f3b5d33062708210f66e6ccfdadbc4deba202d444cb00973b
2,classifiers,bung2 本,本,002.m4a,e7326cc6dad4e4dc17410979863accb0305fedb908216118032f7dc53edd4384
3,classifiers,ze1 書,書,003.m4a,3425a9d412c2b74974b88a480de08436801349e52b1b23c9d1ae7c7d8ab1dd59
4,classifiers,san1 三,三,004.m4a,22db976ad6094f0ea70bfccb2dff7400c81572946e9dd64abdbbe2de47bffcf7
5,classifiers,hian1di6 兄弟,兄弟,005.m4a,edf42c0d364ace3e7fe8a16f97babbd10971d983e92cd961fd6c1b5f1fa943b5
6,classifiers,gui2 幾,幾,006.m4a,9a431e0dad2db231611e783cf1e5717ec1e9e0b334d7acb54309c3081f1da4f5
7,classifiers,Ua2 gai5 ze1.,我個書,007.m4a,11996c6a4381f9dd249a9fc4e8a296dbb6706bb94024fcf84f25676c31948bd6
8,classifiers,san1 gai5 hian1di6.,三個兄弟,008.m4a,db1aef35bfc0a0e2fa7c4e244da31e23e0c415341b61486474b32db739933a12
9,classifiers,gui2 liab8 neng6?,有幾粒卵,009.m4a,a90e5069dfb0b51259bd9f133fa30f056a708684964f021a6789ea7b93530940
10,demonstratives,zi2gai5 只個,只個,010.m4a,25e404f83292f8721b0bd63a3af6a07d2a5dc08cdc836b5e4d1f43b8c3c96f8e
11,demonstratives,he2gai5 許個,許個,011.m4a,bf9bcba838ee1a0dac116f57140698ed4201e72d6650002d70201d846706d2fb
12,demonstratives,zi2coh4 只撮,只撮,012.m4a,294678993471d81b64348c1d34c7ede6873a4b724031e2f6b8656f3032dd56bb
13,demonstratives,he2coh4 許撮,許撮,013.m4a,b344108a7c7a9e0901dfc1c9a182a6689b6d1b21dc7297ca1c46915d0dbf6e75
14,demonstratives,zi2go3 只塊,只塊,014.m4a,d77bc71e9e8196dac1522f5e3e20f94011ee070d3dfc6a1742ab14bcb38dfe04
15,demonstratives,he2go3 許塊,許塊,015.m4a,6c8aa022206c6f89a5fbae7381ee2e42ed7767486e1132ea74a32649429914bf
16,demonstratives,ziê2sên1 照生,照生,016.m4a,f290936ae292b6703e7b1c59f6ec168c798943bf5bcd23ac168159e0f84bbd09
17,demonstratives,Kiêg8 he2bung2 ze1 guê3lai7.,挈許本書過來,017.m4a,5ec8bb2d049c2e7fad7248363b113d63b68a96058875e1b9570393d6a4e12cb7
18,greetings,leu2 ho2 汝好,汝好,018.m4a,9cea594c0f096409782b90875f71bd1dd0f0dc6a65994a4f2ebcf43315bb3286
19,greetings,dai7ge1 ho2 大家好,大家好,019.m4a,130b685ae48c0c57452ef0366756e08b4cfb46f7b30cf0dbf248331ff9e250d3
20,greetings,sia7sia7 謝謝,謝謝,020.m4a,5163748af95389b7127325a0222873367d78a36301b6cd793169d22397c266a4
21,greetings,dui3m6zu6 對唔住,對唔住,021.m4a,eae533fee1f76b829cc8ecbe346467ea828d3dcfb2234b3cfc0818dacfdb96f3
22,greetings,bhoi7jo2ni5 袂做呢,袂做呢,022.m4a,34764590f48a6fed60fea55f86d30050fffeb56a2f6a408b056ee3998a22bad2
23,greetings,leu2 ho2.,汝好,023.m4a,1d9c4a8bcc66ff51aba5cc727606fb6b0979e5b2dfa75e1c472f5af13d6f76c2
24,greetings,sia7sia7.,謝謝,024.m4a,2c3dc808dc16b7fbf9d1a8d1d85185432de5787ed3064751ae2d721442df5b07
25,greetings,dui3m6zu6.,對唔住,025.m4a,9158de0652331a649fb65206efae338289be9294c9615071d89a320fe7981739
26,numbers,zêg8 一,一,026.m4a,f99ee78f72cb0c3abf498cf5ceb29d59fc761958e015e1c2857c61ecfb02a754
27,numbers,no6 兩,兩,027.m4a,3fc867e627e571596be49d4ac900444257ee9004d9ff718db8afb8c36f885896
28,numbers,san1 三,三,028.m4a,22db976ad6094f0ea70bfccb2dff7400c81572946e9dd64abdbbe2de47bffcf7
29,numbers,si3 四,四,029.m4a,506cf92c5048dbb355dd232ca3f0a2b6cca13e31b5122d6a67464a57c4977e5f
30,numbers,ngou6 五,五,030.m4a,883cb88d2fe749718dbc5fb5cd4834fd80def7d9556015a83e764b1aae3ab58f
