nr,syllable,freq,cumulative_coverage,record_as,target_file
1,zêg8,259,0.8%,s0001.m4a,zêg8.mp3
2,bug4,174,1.3%,s0002.m4a,bug4.mp3
3,sêng5,151,1.8%,s0003.m4a,sêng5.mp3
4,gang1,147,2.2%,s0004.m4a,gang1.mp3
5,lêng5,131,2.6%,s0005.m4a,lêng5.mp3
6,dai6,128,3.0%,s0006.m4a,dai6.mp3
7,hag8,128,3.4%,s0007.m4a,hag8.mp3
8,huang1,128,3.8%,s0008.m4a,huang1.mp3
9,zag4,121,4.1%,s0009.m4a,zag4.mp3
10,ki5,120,4.5%,s0010.m4a,ki5.mp3
11,zi2,119,4.9%,s0011.m4a,zi2.mp3
12,guêng1,116,5.2%,s0012.m4a,guêng1.mp3
13,sêg4,115,5.6%,s0013.m4a,sêg4.mp3
14,dong1,111,5.9%,s0014.m4a,dong1.mp3
15,ziên6,111,6.2%,s0015.m4a,ziên6.mp3
16,ming7,110,6.6%,s0016.m4a,ming7.mp3
17,huêng2,108,6.9%,s0017.m4a,huêng2.mp3
18,nang5,106,7.2%,s0018.m4a,nang5.mp3
19,siang1,106,7.5%,s0019.m4a,siang1.mp3
20,lang5,104,7.8%,s0020.m4a,lang5.mp3
21,hung1,102,8.2%,s0021.m4a,hung1.mp3
22,dang1,101,8.5%,s0022.m4a,dang1.mp3
23,dang5,96,8.8%,s0023.m4a,dang5.mp3
24,gi1,95,9.0%,s0024.m4a,gi1.mp3
25,ui5,95,9.3%,s0025.m4a,ui5.mp3
26,ze1,95,9.6%,s0026.m4a,ze1.mp3
27,lai5,93,9.9%,s0027.m4a,lai5.mp3
28,gao1,92,10.2%,s0028.m4a,gao1.mp3
29,nguêng5,92,10.5%,s0029.m4a,nguêng5.mp3
30,hog8,88,10.7%,s0030.m4a,hog8.mp3
31,gian5,87,11.0%,s0031.m4a,gian5.mp3
32,suan3,86,11.2%,s0032.m4a,suan3.mp3
33,zi3,86,11.5%,s0033.m4a,zi3.mp3
34,gêng1,83,11.8%,s0034.m4a,gêng1.mp3
35,dong6,82,12.0%,s0035.m4a,dong6.mp3
36,gag4,81,12.2%,s0036.m4a,gag4.mp3
37,liang6,81,12.5%,s0037.m4a,liang6.mp3
38,cêng1,79,12.7%,s0038.m4a,cêng1.mp3
39,li2,79,13.0%,s0039.m4a,li2.mp3
40,sing1,79,13.2%,s0040.m4a,sing1.mp3
41,zêng1,79,13.4%,s0041.m4a,zêng1.mp3
42,ziên7,78,13.7%,s0042.m4a,ziên7.mp3
43,kong1,75,13.9%,s0043.m4a,kong1.mp3
44,lag8,75,14.1%,s0044.m4a,lag8.mp3
45,dêng1,74,14.4%,s0045.m4a,dêng1.mp3
46,ni5,74,14.6%,s0046.m4a,ni5.mp3
47,no6,74,14.8%,s0047.m4a,no6.mp3
48,si3,72,15.0%,s0048.m4a,si3.mp3
49,ze2,72,15.2%,s0049.m4a,ze2.mp3
50,ciang5,71,15.5%,s0050.m4a,ciang5.mp3
51,gong1,71,15.7%,s0051.m4a,gong1.mp3
52,hong1,71,15.9%,s0052.m4a,hong1.mp3
53,piou1,71,16.1%,s0053.m4a,piou1.mp3
54,sim1,71,16.3%,s0054.m4a,sim1.mp3
55,sog4,71,16.5%,s0055.m4a,sog4.mp3
56,gog4,70,16.7%,s0056.m4a,gog4.mp3
57,dêg8,69,17.0%,s0057.m4a,dêg8.mp3
58,di7,68,17.2%,s0058.m4a,di7.mp3
59,iu5,68,17.4%,s0059.m4a,iu5.mp3
60,liu5,68,17.6%,s0060.m4a,liu5.mp3
61,dua7,66,17.8%,s0061.m4a,dua7.mp3
62,pêng5,66,18.0%,s0062.m4a,pêng5.mp3
63,tiêng1,66,18.2%,s0063.m4a,tiêng1.mp3
64,gia1,65,18.4%,s0064.m4a,gia1.mp3
65,hu1,65,18.6%,s0065.m4a,hu1.mp3
66,goi2,64,18.8%,s0066.m4a,goi2.mp3
67,hang5,64,19.0%,s0067.m4a,hang5.mp3
68,ho2,64,19.1%,s0068.m4a,ho2.mp3
69,tuêng5,64,19.3%,s0069.m4a,tuêng5.mp3
70,miêng2,63,19.5%,s0070.m4a,miêng2.mp3
71,tang5,63,19.7%,s0071.m4a,tang5.mp3
72,ki3,62,19.9%,s0072.m4a,ki3.mp3
73,li5,62,20.1%,s0073.m4a,li5.mp3
74,êng3,62,20.3%,s0074.m4a,êng3.mp3
75,ag4,61,20.5%,s0075.m4a,ag4.mp3
76,dang6,61,20.7%,s0076.m4a,dang6.mp3
77,gai3,61,20.8%,s0077.m4a,gai3.mp3
78,ziang2,61,21.0%,s0078.m4a,ziang2.mp3
79,bho5,60,21.2%,s0079.m4a,bho5.mp3
80,hog4,60,21.4%,s0080.m4a,hog4.mp3
81,huê6,60,21.6%,s0081.m4a,huê6.mp3
82,ri6,60,21.7%,s0082.m4a,ri6.mp3
83,sên1,60,21.9%,s0083.m4a,sên1.mp3
84,sêng6,59,22.1%,s0084.m4a,sêng6.mp3
85,ziang3,59,22.3%,s0085.m4a,ziang3.mp3
86,bêh4,58,22.5%,s0086.m4a,bêh4.mp3
87,giêng3,58,22.6%,s0087.m4a,giêng3.mp3
88,hia6,58,22.8%,s0088.m4a,hia6.mp3
89,huêng5,58,23.0%,s0089.m4a,huêng5.mp3
90,iong5,58,23.2%,s0090.m4a,iong5.mp3
91,ziang1,58,23.3%,s0091.m4a,ziang1.mp3
92,tao5,57,23.5%,s0092.m4a,tao5.mp3
93,tiou5,57,23.7%,s0093.m4a,tiou5.mp3
94,ang1,56,23.9%,s0094.m4a,ang1.mp3
95,hu5,56,24.0%,s0095.m4a,hu5.mp3
96,log8,56,24.2%,s0096.m4a,log8.mp3
97,sêng1,56,24.4%,s0097.m4a,sêng1.mp3
98,san1,55,24.5%,s0098.m4a,san1.mp3
99,zêh4,55,24.7%,s0099.m4a,zêh4.mp3
100,i3,54,24.9%,s0100.m4a,i3.mp3
101,ig4,54,25.0%,s0101.m4a,ig4.mp3
102,li6,54,25.2%,s0102.m4a,li6.mp3
103,siang6,54,25.3%,s0103.m4a,siang6.mp3
104,ê6,54,25.5%,s0104.m4a,ê6.mp3
105,deng5,53,25.7%,s0105.m4a,deng5.mp3
106,hua5,53,25.8%,s0106.m4a,hua5.mp3
107,iang5,53,26.0%,s0107.m4a,iang5.mp3
108,ru5,53,26.2%,s0108.m4a,ru5.mp3
109,se1,53,26.3%,s0109.m4a,se1.mp3
110,si6,53,26.5%,s0110.m4a,si6.mp3
111,zui2,53,26.6%,s0111.m4a,zui2.mp3
112,dao6,52,26.8%,s0112.m4a,dao6.mp3
113,kiang5,52,26.9%,s0113.m4a,kiang5.mp3
114,bang1,51,27.1%,s0114.m4a,bang1.mp3
115,cug4,51,27.3%,s0115.m4a,cug4.mp3
116,ciu2,50,27.4%,s0116.m4a,ciu2.mp3
117,hu6,50,27.6%,s0117.m4a,hu6.mp3
118,liang2,50,27.7%,s0118.m4a,liang2.mp3
119,lug8,50,27.9%,s0119.m4a,lug8.mp3
120,mêng5,50,28.0%,s0120.m4a,mêng5.mp3
121,si5,50,28.2%,s0121.m4a,si5.mp3
122,zu1,50,28.3%,s0122.m4a,zu1.mp3
123,zêng3,50,28.5%,s0123.m4a,zêng3.mp3
124,êg8,50,28.6%,s0124.m4a,êg8.mp3
125,biêng3,49,28.8%,s0125.m4a,biêng3.mp3
126,biêng6,49,28.9%,s0126.m4a,biêng6.mp3
127,duêng6,49,29.1%,s0127.m4a,duêng6.mp3
128,gao3,49,29.2%,s0128.m4a,gao3.mp3
129,gou2,49,29.4%,s0129.m4a,gou2.mp3
130,kêg4,49,29.5%,s0130.m4a,kêg4.mp3
131,re2,49,29.7%,s0131.m4a,re2.mp3
132,si1,49,29.8%,s0132.m4a,si1.mp3
133,siou1,49,30.0%,s0133.m4a,siou1.mp3
134,u6,49,30.1%,s0134.m4a,u6.mp3
135,huang5,48,30.2%,s0135.m4a,huang5.mp3
136,hui1,48,30.4%,s0136.m4a,hui1.mp3
137,ki2,48,30.5%,s0137.m4a,ki2.mp3
138,liêng5,48,30.7%,s0138.m4a,liêng5.mp3
139,tug4,48,30.8%,s0139.m4a,tug4.mp3
140,ziê1,48,31.0%,s0140.m4a,ziê1.mp3
141,deng1,47,31.1%,s0141.m4a,deng1.mp3
142,in2,47,31.3%,s0142.m4a,in2.mp3
143,suan1,47,31.4%,s0143.m4a,suan1.mp3
144,zu6,47,31.5%,s0144.m4a,zu6.mp3
145,hng1,46,31.7%,s0145.m4a,hng1.mp3
146,kai1,46,31.8%,s0146.m4a,kai1.mp3
147,gang3,45,32.0%,s0147.m4a,gang3.mp3
148,huê3,45,32.1%,s0148.m4a,huê3.mp3
149,hêng5,45,32.2%,s0149.m4a,hêng5.mp3
150,kao2,45,32.4%,s0150.m4a,kao2.mp3
151,ui7,45,32.5%,s0151.m4a,ui7.mp3
152,zab8,45,32.6%,s0152.m4a,zab8.mp3
153,bhung5,44,32.8%,s0153.m4a,bhung5.mp3
154,gi3,44,32.9%,s0154.m4a,gi3.mp3
155,i1,44,33.0%,s0155.m4a,i1.mp3
156,kui1,44,33.2%,s0156.m4a,kui1.mp3
157,lao5,44,33.3%,s0157.m4a,lao5.mp3
158,ring5,44,33.4%,s0158.m4a,ring5.mp3
159,sai3,44,33.6%,s0159.m4a,sai3.mp3
160,zih4,44,33.7%,s0160.m4a,zih4.mp3
161,zin1,44,33.8%,s0161.m4a,zin1.mp3
162,buê3,43,34.0%,s0162.m4a,buê3.mp3
163,buêg8,43,34.1%,s0163.m4a,buêg8.mp3
164,cong1,43,34.2%,s0164.m4a,cong1.mp3
